Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q140,Q158,GMSI_1_1,GMSI_2_1,GMSI_3_1,GMSI_4_1,GMSI_5_1,GMSI_6_1,GMSI_7_1,GMSI_8_1,GMSI_9_1,GMSI_10_1,GMSI_11_1,GMSI_12_1,GMSI_13_1,GMSI_14_1,GMSI_15_1,GMSI_16_1,GMSI_17_1,GMSI_18_1,GMSI_19_1,GMSI_20_1,GMSI_21_1,GMSI_22_1,GMSI_23_1,GMSI_24_1,GMSI_25_1,GMSI_26_1,GMSI_27_1,GMSI_28_1,GMSI_29_1,GMSI_30_1,GMSI_31_1,Qcheck,GMSI_32,GMSI_33,GMSI_34,GMSI_35,GMSI_36,GMSI_37,GMSI_38,GMSI_39,PAS_1,PAS_2,PAS_3,PAS_4,PAS_5,PAS_6,PAS_7,PAS_8,PAS_9,PAS_10,PAS_11,PAS_12,PAS_13,PAS_14,PAS_15,PAS_16,PAS_17,PAS_18,PAS_19,PAS_20,PAS_21,PAS_22,PAS_23,PAS_24,PAS_25,PAS_26,PAS_27,PAS_28,PAS_29,PAS_30,PAS_31,PAS_32,PAS_33,PAS_34,PAS_35,PAS_36,PAS_37,PAS_38,PAS_39,PAS_40,PAS_41,PAS_42,PAS_43,PAS_44,PAS_45,PAS_46,PAS_47,PAS_48,PAS_49,PAS_50,PAS_51,PAS_52,PAS_53,PAS_54,PAS_55,PAS_56,catch,PAS_57,PAS_58,PAS_59,PAS_60,PAS_61,catch,PROLIFIC_PID
0,155.33.131.22,100,215,1,8/1/23 14:39,R_1dsm1yk6BKkdE1q,,,,,42.3427,-71.0922,anonymous,EN,1,k,6,5,5,5,3,7,6,6,2,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,2,6,3,2,5,2,3,5,5,7,7,voice,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,6,2,2,1,2,1,5,
0,66.108.19.88,100,227,1,8/1/23 16:33,R_2aWGA5ZFKFEktZR,,,,,40.7123,-74.0068,anonymous,EN,1,581d38509b5b8800014d507e,7,7,7,5,7,7,7,7,1,6,1,7,1,1,7,7,7,7,7,7,1,7,1,7,1,7,1,7,7,10,7,2,7,5,5,1,3,5,7,voice,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,6,1,1,1,1,1,5,581d38509b5b8800014d507e
0,73.171.130.79,100,386,1,8/1/23 16:36,R_3fZYYy8giotCawe,,,,,31.1805,-81.4961,anonymous,EN,1,645906dc264ac9eb66b7f3ec,3,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,7,1,1,1,1,1,1,1,1,4,4,2,1,1,1,1,1,1,1,none,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,6,1,2,1,1,1,5,645906dc264ac9eb66b7f3ec
0,172.58.59.109,100,383,1,8/1/23 16:36,R_0olVYpdKeeyK6ZP,,,,,39.7388,-104.9868,anonymous,EN,1,63b6bd97e7629019b6f894da,7,7,7,1,7,7,2,7,1,5,1,7,1,1,7,7,5,7,7,7,1,4,7,7,7,7,3,7,7,7,7,2,5,5,3,4,5,2,7,Voice,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,6,1,1,1,1,1,5,63b6bd97e7629019b6f894da
0,185.74.168.174,100,493,1,8/1/23 16:38,R_smRhHrQNkIHEZJT,,,,,45.6574,-68.7102,anonymous,EN,1,5bf368846edd7200017136c7,3,6,2,2,7,7,2,2,1,6,1,7,1,1,2,7,1,7,5,7,7,7,1,3,6,7,1,3,3,4,7,2,7,3,1,7,7,2,4,piano,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,1,6,1,1,1,1,1,5,5bf368846edd7200017136c7
0,107.128.2.67,100,451,1,8/1/23 16:39,R_4HEXPwIHfEe4YY9,,,,,29.4227,-98.4927,anonymous,EN,1,5e1f8fbfb202032c463f3e06,3,4,2,4,5,6,5,2,1,6,3,4,3,4,2,5,1,4,4,7,7,5,3,4,3,4,6,2,3,4,7,2,1,1,2,1,4,3,1,voice,2,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,6,1,1,1,1,1,5,5e1f8fbfb202032c463f3e06
0,73.159.242.90,100,412,1,8/1/23 16:39,R_1P4QF6UVg5uPvQZ,,,,,41.5557,-72.6632,anonymous,EN,1,6400d91626a7ff50dffaadd0,3,2,1,2,4,4,3,4,3,1,5,2,3,6,4,4,3,3,2,4,6,3,6,3,6,6,7,6,3,5,6,2,3,2,1,1,4,1,2,violin,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,6,1,1,1,1,1,5,6400d91626a7ff50dffaadd0
0,73.202.123.171,100,493,1,8/1/23 16:39,R_QfQ0viOJd79MuWd,,,,,38.4116,-122.7332,anonymous,EN,1,5be8dab5d153f500019ab320,5,7,2,1,4,5,5,6,1,2,2,6,6,6,6,7,6,7,7,7,3,7,3,7,7,7,6,7,2,4,7,2,3,2,3,1,3,3,2,piano,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,6,1,1,1,1,1,5,5be8dab5d153f500019ab320
0,66.66.148.164,100,613,1,8/1/23 16:39,R_bl8tRZQVgeSLPBn,,,,,43.1661,-77.5555,anonymous,EN,1,63ed1fa5c88ecae92bf0c920,1,1,1,1,5,7,2,4,5,5,2,4,1,1,1,4,1,6,1,4,7,6,1,1,4,6,7,3,5,7,7,2,1,1,2,1,1,1,1,voice,2,2,2,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,6,1,1,1,2,1,5,63ed1fa5c88ecae92bf0c920
0,169.239.205.44,100,681,1,8/1/23 16:40,R_2c7VM1UBP2XOPGf,,,,,37.751,-97.822,anonymous,EN,1,631f991a0a5b1611251a3ebe,2,2,3,4,5,4,2,2,4,3,2,3,3,3,4,3,3,3,2,2,3,2,2,4,5,4,4,4,4,5,2,2,1,1,1,1,1,1,1,N/A,1,1,2,2,2,2,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,6,1,1,1,1,1,5,631f991a0a5b1611251a3ebe
